Siglent Technologies,SSA5085A,SSA5AA4D900088,1.9.0.2.2R3
PMA Benchtop NPD v2.00,,,
Frequency Start = 2.0 GHz,,,
Frequency Stop = 5.0 GHz,,,
Frequency Step = 0.3 MHz,,,
Number of Frequency Points = 10001.0,,,
Number of Averages = 10.0,,,
Resolution Bandwidth = 10.0 KHz,,,
,,,
Freq(GHz),Raw Data,dBm/Hz,
2.1242,-118.5203,-158.5203,
2.1245,-118.0761,-158.0761,
2.1248,-120.0453,-160.0453,
2.1251,-118.2911,-158.2911,
2.1254,-119.396,-159.396,
2.1257,-117.2997,-157.2997,
2.126,-119.3748,-159.3748,
2.1263,-117.8767,-157.8767,
2.1266,-119.9034,-159.9034,
2.1269,-119.089,-159.089,
2.1272,-118.7592,-158.7592,
2.1275,-118.7311,-158.7311,
2.1278,-116.876,-156.876,
2.1281,-118.7481,-158.7481,
2.1284,-120.4217,-160.4217,
2.1287,-118.7747,-158.7747,
2.129,-119.1183,-159.1183,
2.1293,-117.5247,-157.5247,
2.1296,-117.1588,-157.1588,
2.1299,-119.4301,-159.4301,
2.1302,-118.156,-158.156,
2.1305,-119.4401,-159.4401,
2.1308,-118.5195,-158.5195,
2.1311,-118.7753,-158.7753,
2.1314,-118.6727,-158.6727,
2.1317,-117.5691,-157.5691,
2.132,-120.0279,-160.0279,
2.1323,-118.3622,-158.3622,
2.1326,-119.0272,-159.0272,
2.1329,-118.1775,-158.1775,
2.1332,-117.7851,-157.7851,
2.1335,-119.6493,-159.6493,
2.1338,-117.9366,-157.9366,
2.1341,-118.6096,-158.6096,
2.1344,-119.1555,-159.1555,
2.1347,-119.1565,-159.1565,
2.135,-119.8705,-159.8705,
2.1353,-118.7941,-158.7941,
2.1356,-118.1526,-158.1526,
2.1359,-119.1855,-159.1855,
2.1362,-120.0999,-160.0999,
2.1365,-119.778,-159.778,
2.1368,-117.4562,-157.4562,
2.1371,-117.989,-157.989,
2.1374,-119.3654,-159.3654,
2.1377,-118.549,-158.549,
2.138,-120.2631,-160.2631,
2.1383,-119.317,-159.317,
2.1386,-118.9314,-158.9314,
2.1389,-117.6978,-157.6978,
2.1392,-119.2335,-159.2335,
2.1395,-118.5186,-158.5186,
2.1398,-118.6983,-158.6983,
2.1401,-118.2836,-158.2836,
2.1404,-118.4514,-158.4514,
2.1407,-117.9161,-157.9161,
2.141,-119.2526,-159.2526,
2.1413,-117.7688,-157.7688,
2.1416,-120.32,-160.32,
2.1419,-118.8559,-158.8559,
2.1422,-117.4235,-157.4235,
2.1425,-117.878,-157.878,
2.1428,-118.861,-158.861,
2.1431,-119.3922,-159.3922,
2.1434,-119.1649,-159.1649,
2.1437,-117.941,-157.941,
2.144,-118.6369,-158.6369,
2.1443,-118.197,-158.197,
2.1446,-118.583,-158.583,
2.1449,-120.4645,-160.4645,
2.1452,-119.6834,-159.6834,
2.1455,-120.2237,-160.2237,
2.1458,-119.1213,-159.1213,
2.1461,-118.6823,-158.6823,
2.1464,-117.4642,-157.4642,
2.1467,-116.3528,-156.3528,
2.147,-118.4847,-158.4847,
2.1473,-118.2164,-158.2164,
2.1476,-118.0542,-158.0542,
2.1479,-117.495,-157.495,
2.1482,-117.4677,-157.4677,
2.1485,-117.8657,-157.8657,
2.1488,-118.3696,-158.3696,
2.1491,-116.3316,-156.3316,
2.1494,-118.9756,-158.9756,
2.1497,-117.9318,-157.9318,
2.15,-115.025,-155.025,
2.1503,-113.9791,-153.9791,
2.1506,-117.167,-157.167,
2.1509,-116.5069,-156.5069,
2.1512,-116.8573,-156.8573,
2.1515,-116.0703,-156.0703,
2.1518,-116.0635,-156.0635,
2.1521,-117.3089,-157.3089,
2.1524,-118.1069,-158.1069,
2.1527,-116.097,-156.097,
2.153,-117.5035,-157.5035,
2.1533,-118.5529,-158.5529,
2.1536,-117.3811,-157.3811,
2.1539,-117.4044,-157.4044,
2.1542,-117.5415,-157.5415,
2.1545,-118.7307,-158.7307,
2.1548,-119.0727,-159.0727,
2.1551,-117.3637,-157.3637,
2.1554,-119.0803,-159.0803,
2.1557,-118.6633,-158.6633,
2.156,-119.1128,-159.1128,
2.1563,-120.3043,-160.3043,
2.1566,-119.2902,-159.2902,
2.1569,-119.7333,-159.7333,
2.1572,-119.3013,-159.3013,
2.1575,-119.0416,-159.0416,
2.1578,-116.4147,-156.4147,
2.1581,-118.9747,-158.9747,
2.1584,-118.7128,-158.7128,
2.1587,-118.0452,-158.0452,
2.159,-118.6787,-158.6787,
2.1593,-118.127,-158.127,
2.1596,-117.55,-157.55,
2.1599,-119.4287,-159.4287,
2.1602,-120.0852,-160.0852,
2.1605,-117.1432,-157.1432,
2.1608,-118.8482,-158.8482,
2.1611,-117.7108,-157.7108,
2.1614,-118.7188,-158.7188,
2.1617,-118.6055,-158.6055,
2.162,-117.9938,-157.9938,
2.1623,-119.5308,-159.5308,
2.1626,-118.2545,-158.2545,
2.1629,-119.7367,-159.7367,
2.1632,-119.5994,-159.5994,
2.1635,-119.8823,-159.8823,
2.1638,-118.9575,-158.9575,
2.1641,-118.3536,-158.3536,
2.1644,-118.3941,-158.3941,
2.1647,-119.8081,-159.8081,
2.165,-119.6333,-159.6333,
2.1653,-117.9559,-157.9559,
2.1656,-119.1678,-159.1678,
2.1659,-119.3602,-159.3602,
2.1662,-118.5537,-158.5537,
2.1665,-116.8249,-156.8249,
2.1668,-117.2561,-157.2561,
2.1671,-117.9501,-157.9501,
2.1674,-119.2406,-159.2406,
2.1677,-117.6572,-157.6572,
2.168,-119.4744,-159.4744,
2.1683,-119.3271,-159.3271,
2.1686,-118.7157,-158.7157,
2.1689,-118.104,-158.104,
2.1692,-118.2608,-158.2608,
2.1695,-119.0073,-159.0073,
2.1698,-118.2021,-158.2021,
2.1701,-117.9514,-157.9514,
2.1704,-118.7102,-158.7102,
2.1707,-117.8149,-157.8149,
2.171,-117.8817,-157.8817,
2.1713,-117.2746,-157.2746,
2.1716,-117.9638,-157.9638,
2.1719,-119.888,-159.888,
2.1722,-118.6434,-158.6434,
2.1725,-118.8444,-158.8444,
2.1728,-117.8481,-157.8481,
2.1731,-119.339,-159.339,
2.1734,-119.1272,-159.1272,
2.1737,-117.0644,-157.0644,
2.174,-119.8921,-159.8921,
2.1743,-118.5466,-158.5466,
2.1746,-118.9005,-158.9005,
2.1749,-119.6014,-159.6014,
2.1752,-117.5494,-157.5494,
2.1755,-118.8998,-158.8998,
